EM_ID,Recency,Frequency,Monetary,F,R,M,RFM Score,Segment
31452747522,560,1,69,1,2,2,212,hibernating
31453154194,526,1,69,1,2,2,212,hibernating
31453351688,561,1,130,1,2,3,213,hibernating
31453375744,561,1,69,1,2,2,212,hibernating
31453539426,556,1,69,1,2,2,212,hibernating
31453755880,539,1,69,1,2,2,212,hibernating
31453775286,312,1,279,1,3,3,313,about to sleep
31453802994,561,1,69,1,2,2,212,hibernating
31453806886,552,1,69,1,2,2,212,hibernating
31454584032,110,4,836,3,4,5,435,potential loyalists
31454724798,557,1,130,1,2,3,213,hibernating
31454877034,127,1,59,1,4,2,412,promising
31455025368,560,1,199,1,2,3,213,hibernating
31455205816,190,3,187,2,3,3,323,about to sleep
31456056920,525,2,118,2,2,3,223,hibernating
31456404598,84,3,177,2,5,3,523,potential loyalists
31456425386,147,1,349,1,4,4,414,promising
31457021126,166,2,638,2,4,4,424,potential loyalists
31457088478,561,2,348,2,2,4,224,hibernating
31457122378,494,2,348,2,2,4,224,hibernating
31457309444,560,1,99,1,2,2,212,hibernating
31457376344,50,3,677,2,5,4,524,potential loyalists
31457488752,183,1,59,1,3,2,312,about to sleep
31457488854,561,1,69,1,2,2,212,hibernating
31457525154,265,3,157,2,3,3,323,about to sleep
31457896600,159,2,357,2,4,4,424,potential loyalists
31458522526,541,1,69,1,2,2,212,hibernating
31458865298,20,3,207,2,5,3,523,potential loyalists
31458955570,546,1,69,1,2,2,212,hibernating
31459090492,200,5,1395,3,3,5,335,need attention
31459248596,561,1,279,1,2,3,213,hibernating
31459352276,97,2,378,2,4,4,424,potential loyalists
31459374552,561,1,279,1,2,3,213,hibernating
31459485324,110,7,5093,3,4,5,435,potential loyalists
31459557102,553,2,268,2,2,3,223,hibernating
31459765416,561,1,130,1,2,3,213,hibernating
31460274002,130,1,239,1,4,3,413,promising
31460753018,314,2,418,2,3,4,324,about to sleep
31461113684,385,3,167,2,2,3,223,hibernating
31461211766,560,1,69,1,2,2,212,hibernating
31461236682,559,1,69,1,2,2,212,hibernating
31461374824,13,4,856,3,5,5,535,potential loyalists
31461453392,554,1,69,1,2,2,212,hibernating
31461742876,302,1,279,1,3,3,313,about to sleep
31461844576,220,3,187,2,3,3,323,about to sleep
31461896922,524,1,69,1,2,2,212,hibernating
31461948134,441,1,69,1,2,2,212,hibernating
31462164866,553,1,69,1,2,2,212,hibernating
31462240848,553,1,69,1,2,2,212,hibernating
31462302520,224,1,59,1,3,2,312,about to sleep
31462326344,206,1,239,1,3,3,313,about to sleep
31462674730,152,8,642,4,4,4,444,loyal customers
31463149062,559,1,69,1,2,2,212,hibernating
31463283420,27,3,707,2,5,4,524,potential loyalists
31463632206,553,1,69,1,2,2,212,hibernating
31464229406,102,1,659,1,4,4,414,promising
31464398286,560,1,69,1,2,2,212,hibernating
31464424590,560,1,69,1,2,2,212,hibernating
31464572354,179,2,128,2,4,3,423,potential loyalists
31464636994,295,2,128,2,3,3,323,about to sleep
31464681290,188,2,118,2,3,3,323,about to sleep
31464826122,62,1,99,1,5,2,512,new customers
31464834782,557,1,69,1,2,2,212,hibernating
31465159094,97,4,1766,3,4,5,435,potential loyalists
31465664902,400,1,229,1,2,3,213,hibernating
31465734316,560,1,69,1,2,2,212,hibernating
31465792036,559,1,69,1,2,2,212,hibernating
31466010884,560,1,130,1,2,3,213,hibernating
31466153470,162,4,246,3,4,3,433,potential loyalists
31466265552,559,1,69,1,2,2,212,hibernating
31466558762,42,2,558,2,5,4,524,potential loyalists
31466559236,546,1,69,1,2,2,212,hibernating
31466624926,543,1,69,1,2,2,212,hibernating
